username,first,last,gender,dob,country,color,fruits,os,shell,permission
tf9791,treya,feldstein,f,may 11 1992,albania,web_purple,cherries,windows,/bin/tcsh,update
am5524,antonin,murga,m,october 20 1998,poland,dark_slate_blue,cantaloupe,mac,/bin/bash,insert
jl7014,jaelyn,lule,f,july 29 1993,germany,steel_blue,watermelon,windows,/bin/bash,drop
le6920,lydian,erisman,f,july 5 1988,guyana,cornflower_blue,limes,windows,/bin/tcsh,drop
bm9749,baldomero,marvel,m,june 30 1990,portugal,azure,blackberries,mac,/bin/tcsh,drop
el7634,exodus,lappe,m,october 22 1987,burundi,alice_blue,lemons,windows,/bin/tcsh,select
rv7691,reid,vandenberg,f,october 11 1989,turkey,aquamarine,strawberries,windows,/bin/ksh,execute
dp3767,delilah,perezcruz,f,november 23 1988,kenya,aquamarine,bananas,mac,/bin/bash,select
gc2142,gianno,callihan,m,february 5 1985,bangladesh,brown,watermelon,windows,/bin/ksh,update
mv3817,mouctar,vigeant,m,march 22 1985,cyprus,crimson,lemons,mac,/bin/csh,create
cj5995,cambridge,jungers,f,march 27 1985,kenya,mint_cream,blueberries,mac,/bin/ksh,drop
cb9579,chrissy,brodbeck,f,january 18 1987,guyana,yellow_green,blueberries,windows,/bin/bash,delete
ks8827,kalem,stlouis,m,june 1 1992,barbados,wheat,blueberries,mac,/bin/csh,create
ns5093,norie,spurling,f,december 8 1986,hong_kong,azure,cantaloupe,mac,/bin/csh,select
jp8557,jiho,pressnell,m,october 11 1988,chad,royal_blue,pineapple,mac,/bin/tcsh,delete
ic6794,icarus,costantino,m,july 6 1998,el_salvador,gray,apples,windows,/bin/tcsh,execute
ea2362,ellianne,anna,f,may 21 1997,trinidad_and_tobago,yellow_green,oranges,mac,/bin/tcsh,drop
eb5255,eisla,bousman,f,april 16 1994,georgia,sky_blue,pears,mac,/bin/csh,drop
an2360,arcangel,nevills,m,september 23 1990,serbia,dim_gray,raspberries,windows,/bin/bash,update
va5205,vallentina,artman,f,march 1 1990,israel,blue,blackberries,windows,/bin/csh,insert
pg5187,praise,gilder,f,june 22 1985,barbados,sea_green,apples,mac,/bin/tcsh,insert
nt3830,novalee,tash,f,march 18 1985,albania,white_smoke,nectarines,mac,/bin/bash,update
zs6875,zavior,shunk,m,october 23 1989,kenya,medium_orchid,blackberries,windows,/bin/csh,create
dk9495,dallyn,knebel,m,april 9 1992,the_gambia,light_blue,nectarines,windows,/bin/csh,select
zm7773,zora,moses,f,january 18 1986,indonesia,orange_red,cantaloupe,windows,/bin/csh,insert
nb3160,najib,baten,m,may 4 1988,uganda,light_yellow,blueberries,mac,/bin/csh,update
aa3635,adena,adragna,f,december 29 1986,fiji,green_yellow,peaches,windows,/bin/ksh,select
bt8360,brayner,tull,m,october 24 1998,malaysia,orchid,lemons,windows,/bin/csh,create
gq1857,giada,qu,f,december 3 1994,cayman_islands,light_salmon,strawberries,windows,/bin/csh,delete
dm1994,deshawn,matheson,m,october 2 1998,ivory_coast,tomato,watermelon,mac,/bin/ksh,create
ks7766,kyere,solley,m,september 26 1991,switzerland,lime_green,plums,mac,/bin/ksh,all
cj4826,cova,jenkins,f,september 22 1987,peru,hot_pink,bananas,mac,/bin/ksh,delete
ss7796,sameya,selk,f,february 17 1995,australia,thistle,mangoes,mac,/bin/csh,select
rb5821,riyaz,burd,m,april 1 1991,san_marino,green_yellow,grapes,mac,/bin/tcsh,update
jl8034,jehu,lagreca,m,september 19 1989,estonia,light_yellow,raspberries,mac,/bin/csh,select
os7312,odera,stasko,m,december 5 1985,turkey,saddle_brown,strawberries,windows,/bin/ksh,update
ev9375,eston,vanderford,m,january 18 1985,slovenia,medium_turquoise,strawberries,windows,/bin/tcsh,drop
kh6525,keerat,hashem,f,december 10 1990,czech_republic,lemon_chiffon,cantaloupe,mac,/bin/tcsh,drop
bc6408,bryton,chaffee,m,september 17 1991,luxembourg,coral,peaches,mac,/bin/csh,insert
am4516,alon,mahony,m,january 5 1996,denmark,beige,plums,mac,/bin/tcsh,delete
ll4733,lonzo,langan,m,september 13 1993,cyprus,ivory,apples,windows,/bin/csh,update
lc3973,leif,chapdelaine,m,march 12 1986,pakistan,peru,lemons,windows,/bin/csh,all
mk6202,mohammed,keech,m,january 8 1997,jamaica,lavender,mangoes,mac,/bin/csh,delete
em6342,eilidh,malmgren,f,march 6 1995,cuba,peach_puff,blueberries,windows,/bin/csh,update
mv5713,milarose,villasenor,f,july 13 1990,ukraine,dark_sea_green,cherries,mac,/bin/tcsh,update
cr3435,carlie,rivas,f,october 23 1986,belarus,dark_blue,apples,mac,/bin/ksh,delete
et8468,elley,tretter,f,march 16 1991,australia,royal_blue,lemons,mac,/bin/csh,drop
kd3981,kamiera,didomenico,f,february 23 1997,bangladesh,light_slate_gray,blueberries,windows,/bin/bash,all
nc6544,nada,chumbley,f,march 19 1998,south_africa,dark_blue,blueberries,mac,/bin/tcsh,select
lo3607,lihan,ormsby,m,may 2 1985,slovenia,light_gray,cherries,mac,/bin/ksh,execute
ss8206,shakiya,schoon,f,august 19 1997,argentina,light_blue,nectarines,windows,/bin/ksh,all
vl2872,virgilio,lucus,m,february 19 1997,egypt,dark_green,blueberries,mac,/bin/csh,insert
rt2369,radwa,thorp,f,october 17 1986,dominican_republic,saddle_brown,grapes,windows,/bin/ksh,all
am1972,aemon,myler,m,july 4 1985,ghana,plum,blackberries,windows,/bin/tcsh,drop
ed8025,elizabethgrace,dandridge,f,december 17 1998,jamaica,web_green,limes,mac,/bin/csh,select
sv1580,sharla,vanderlaan,f,march 23 1985,niger,ivory,nectarines,mac,/bin/ksh,select
lh1684,loujain,hampton,f,february 19 1991,zambia,slate_gray,pears,windows,/bin/tcsh,select
sk3475,siddarth,kirk,m,june 5 1991,thailand,dark_slate_gray,blackberries,windows,/bin/ksh,delete
tz6647,tayvien,zubiate,m,march 19 1996,slovenia,white_smoke,pineapple,windows,/bin/tcsh,update
yr3940,yuvansh,rhodes,m,september 27 1986,philippines,lavender,limes,mac,/bin/csh,execute
sd8565,suki,defoe,f,november 13 1985,south_africa,rosy_brown,strawberries,mac,/bin/bash,update
sl5113,saylem,lamantia,f,june 28 1996,venezuela,medium_turquoise,blueberries,mac,/bin/ksh,delete
to1764,tatumn,oxley,f,january 6 1999,qatar,moccasin,pineapple,windows,/bin/csh,insert
za5138,zemora,allers,f,november 19 1992,algeria,medium_spring_green,blueberries,mac,/bin/csh,update
as6087,adea,silguero,f,august 5 1997,france,magenta,grapes,mac,/bin/bash,select
tm8970,theseus,markert,m,april 8 1987,tanzania,honeydew,lemons,windows,/bin/csh,drop
em4452,ezeriah,mcfaul,m,july 22 1985,chile,violet,strawberries,mac,/bin/csh,update
jf5481,jenae,frigo,f,april 25 1996,austria,dark_magenta,lemons,mac,/bin/bash,execute
ct6118,chapel,trinkle,f,october 23 1987,kazakhstan,snow,apples,mac,/bin/ksh,all
bf5858,blayklee,fortson,f,april 25 1994,nigeria,thistle,lemons,mac,/bin/ksh,insert
kh2178,keyani,hawker,f,january 5 1998,latvia,yellow,pineapple,windows,/bin/csh,execute
ke9809,kazlynn,echeverri,f,november 17 1994,bangladesh,red,grapes,windows,/bin/tcsh,drop
